toxic	neutral	detoxified_bloomz	detoxified_bloomz_lang_prompt	detoxified_bloomz_fs	detoxified_mt0	detoxified_mt0_lang_prompt	detoxified_gpt-3.5	detoxified_gpt-3.5_lang_prompt	detoxified_gpt-3.5_fs
i ain 't bought shit either	i ain 't bought it either	I ain't bought shit either	I ain't bought shit either.	i ain 't bought it either	I haven't bought shit either.	I haven't bought shit either.	I haven't bought anything either.	I haven't purchased anything either.	I haven't purchased anything either.
"the fuck you mean "" mythical "" ?"	"you mean "" mythical "" ?"	"Fuck you mean "" mythical "" ?"	"the fuck you mean "" mythical "" ?"	"you mean "" mythical "" ?"	"the fuck you mean "" mythical ""?"	"What do you mean by "" mythical ""?"	"What do you mean by ""mythical""?"	"What do you mean by ""mythical""?"	"What do you mean by ""mythical""?"
i think info is really important and the info given on that shit is not true .	I think the information is really important and the information given is not true.	I think info is really important and the info given on that shit is not true .	I think info is really important and the info given on that shit is not true .	I think the information is really important and the information given is not true.	I think information is very important and the information given on that shit is not true.	I think information is really important. And the info given on that shit is not true.	I believe that accurate information is crucial, and the information provided on that topic is not accurate.	I believe that accurate information is crucial, and the information provided on that topic is not accurate.	I believe that accurate information is crucial, and the information provided on that topic is not accurate.
""" but they give a shit if you say you drive a mazda when really you drive a mercedes ."	""" but they care if you say you drive a mazda when really you drive a mercedes."	""" but they give a shit if you say you drive a mazda when really you drive a mercedes ."	""" but they give a shit if you say you drive a mazda when really you drive a mercedes ."	""" but they care if you say you drive a mazda when really you drive a mercedes."	"""But they give a fuck if you say you drive a mazda when really you drive a mercedes."	But they give a fuck if you say you drive a Mazda when really you drive a Mercedes.	but they care if you claim to drive a Mazda when in reality you drive a Mercedes.	but they care if you claim to drive a Mazda when in reality, you drive a Mercedes.	""" but they care if you say you drive a Mazda when really you drive a Mercedes."
sometimes i wonder how i can love such a shit team	sometimes i wonder how i can love such a bad team	sometimes i wonder how i can love such a shit team	sometimes i wonder how i can love such a shit team	sometimes i wonder how i can love such a bad team	sometimes i wonder how i can love such a shit team	Sometimes I wonder how I can love such a shit team.	At times, I question how I can have such a strong affection for a team that has faced challenges.	Sometimes I wonder how I can continue to support a team that has been struggling.	sometimes I wonder how I can love such a team
these clowns forget who they work for : the public .	These people forget who they work for: the public.	These clowns forget who they work for . The public .	These clowns forget who they work for . The public .	these clowns forget who they work for : the public .	these clowns forget who they work for. the public.	these clowns forget who they work for : the public.	These clowns seem to have lost sight of their main responsibility: serving the public.	These individuals seem to have overlooked that they are employed by the public.	these individuals forget who they work for: the public.
shame on the fools who are turning their backs on the rape and torture of children .	shame on those who are turning their backs on the rape and torture of children .	Shame on the fools who are turning their backs on the rape and torture of children .	Shame on the fools who are turning their backs on the rape and torture of children .	shame on the fools who are turning their backs on the rape and torture of children .	shame on the fools who are turning their backs on the rape and torture of children.	shame on the fools who are turning their backs on the rape and torture of children.	It is disappointing to see those who are ignoring the abuse and suffering of children.	It is disappointing to see individuals ignoring the serious issue of child rape and torture.	Shame on those who are ignoring the abuse and suffering of children.
we drinkin the same juice my nig ? !	We drinkin the same juice my friend?!	We drink the same juice, my nigga ?	We drink the same juice, my nigga ?	we drink the same juice my nig ? !	we drinkin the same juice my nig?	We're drinking the same juice?	Are we drinking the same juice, my friend?	Are we drinking the same juice, my friend?	are we drinking the same juice, my friend?
that shit will be logged , analyzed , and used against you in a court of law .	that will be logged , analyzed , and used against you in a court of law .	That shit will be logged , analyzed , and used against you in a court of law .	That shit will be logged , analyzed , and used against you in a court of law .	that shit will be logged , analyzed , and used against you in a court of law .	that shit will be logged, analyzed and used against you in a court of law.	that shit will be logged, analyzed, and used against you in a court of law.	That information will be recorded, examined, and may be used as evidence in a legal proceeding.	That information will be recorded, examined, and may be used as evidence in a legal proceeding.	 that information will be logged, analyzed, and used against you in a court of law.
why are universities convening courts for this shit ?	why are universities convening courts for this ?	Why are universities convening courts for this shit ?	Why are universities convening courts for this shit ?	why are universities convening courts for this shit ?	why are universities convening courts for this shit?	why are universities convening courts for this shit?	Why are universities holding hearings for this matter?	Why are universities holding hearings for this matter?	why are universities holding hearings for this matter?
truly sad and pathetic , get with it yourself .	Truly sad. Get with it yourself.	truly sad and pathetic , get with it yourself .	truly sad and pathetic , get with it yourself .	truly sad and pathetic , get with it yourself .	truly sad and pathetic. get with it yourself.	truly sad and pathetic. get with it yourself.	Genuinely unfortunate and disappointing, please take care of yourself.	Truly unfortunate and disappointing, take charge of your own situation.	truly sad and pathetic, get with it yourself.
i don 't wanna do no fucking community service ! ! ! !	i don 't want to do any community service.	I don't want to do no fucking community service !	I don't want to do fucking community service ! ! ! !	i don't want to do any community service ! ! ! !	I don 't want to do any community service!!!!	I don 't want to do any community service!!!!	I would prefer not to participate in community service.	I would prefer not to participate in community service.	I don't want to do any community service!
or , you could just grow the fuck up .	or , you could just grow up.	Or , you could just grow up .	or , you could just grow up .	or , you could just grow up .	or, you could just grow up.	or, you could just grow the fuck up.	Or, you could just mature and handle the situation more responsibly.	Or, you could simply mature and handle the situation more responsibly.	or, you could just grow up.
lmao ! ! lol that would be some funny shit	lmao!! lol that would be some funny stuff	lol that would be some funny shit	lol that would be some funny shit	LMAO ! ! lol that would be some funny shit	lmao!! lol that would be some funny shit	lmao! lol that would be some funny shit	Haha, that would be really funny!	Haha, that would be quite amusing!	lmao! lol that would be some funny stuff
i dont want to talk to you no more , you emptyheaded animal food trough wiper !	I don't want to talk to you any more	I don't want to talk to you anymore , you empty-headed animal food trough wiper !	I don't want to talk to you anymore , you empty-headed animal food trough wiper !	i don't want to talk to you anymore , you empty-headed animal food trough wiper !	I don't want to talk to you anymore, you emptyheaded animal food trough wiper!	I don't want to talk to you anymore, you emptyheaded animal food trough wiper!	I would prefer not to engage in conversation with you any longer, you empty-headed animal food trough wiper!	I would prefer not to engage in conversation with you any longer, you empty-headed animal food trough wiper!	I don't want to talk to you anymore, you empty-headed animal food trough wiper!
