	toxic	neutral
0	ይህ የትክክለኛው ሞኝ ማን እንደሆነ በቂ ምክር መስጠት አለበት .	ይህ የትክክለኛው የተሳሳተ ማን እንደሆነ በቂ ምክር መስጠት አለበት .
1	አይ, ያ ዲክ ይሆን ነበር	አይ, ያ አለም ነበር .
2	እነሱ የራሳቸውን ሸክም መግዛት አለባቸው .	እነሱ የራሳቸውን ነገር መግዛት አለባቸው .
3	አምላክ ምን? ? ? ? እኔ ማደርደር አልፈልግም ! ! !	አምላክ ምን?? እኔ አልጠራጠርም!
4	እኔ በቀጣይ ምርጫ ለራሳቸው ሸክም እንደሚያስተካክሉ ተስፋ አደርጋለሁ .	እኔ በቀጣይ ምርጫ ለራሳቸው ነገር እንደሚያስተካክሉ ተስፋ አደርጋለሁ .
5	ለክፉው ዲክ ምን አጋጠመው ?	ለእርሱ ምን ተፈጠረ?
6	በ ucla ሳለህ ለምን የኮድ መማር አልተማርህም ?	በ ucla ሳለህ ለምን የኮድ መማር አልተማርህም ?
7	በከተማ አንድ ሰው ተደነዝዞ ነበር! ኦ ሸክም	በከተማ አንድ ሰው ተደነዝዞ ነበር .
8	እርሱ የእናቱን አስተውሉ አለው .	እርሱ እንደ እናቱ ይውሃል .
9	ሁለቱንም ሾው አልተሳካም ማለት ነው .	ሁለቱንም ሾው አይነጋገርም ማለት ነው .
10	ከዚያም በኋላ በክፍል ውስጥ አመጣችው እና ስለ ቤቷ በአስቸጋሪ ሁኔታ ተናገረች እንጂ ማንም በስድብ አልተመለከተውም	በክፍል ውስጥ አመጡት እና ስለ ቤቷ በአስቸጋሪ ሁኔታ ተናገረች እንጂ ማንም በስድብ አልተመለከተውም
11	ሎል, አንተ ይህ ጉድ አስቂኝ ነው ታውቃለህ	አንተ ይህ አስቂኝ ነው ታውቃለህ
12	በጆርጂ ካርሊን ቃል አንደበት ፕላኔቱ በሚገባ ነው, ሰዎቹ ግን የተጠቃቀቁ ናቸው	በጆርጂ ካርሊን ቃል አንደበት ፕላኔቱ በሚገባ ነው, ሰዎቹ ግን አይደሉም
13	እኔ በተራንታው ላይ ያለውን ጨዋታ እጠላዋለሁ 12487127141 ግራናዎች በአዲስ ሁኔታ ተጣልተው ሲፈነዱ ነው ችግሩ	በተራንታው ላይ ያለውን ጨዋታ እጠላዋለሁ 12487127141 ግራናዎች በአዲስ ሁኔታ ተጣልተው ሲፈነዱ ነው ችግሩ
14	የምስጢሩ ፍርድ ቤት ምንድን ነው?	የምስጢሩ ፍርድ ቤት ምንድን ነው?
15	ለዚህ መንግስት መዝለል በአስቀድሞ የተገለጸ ምሳሌ አጣጥሎ ነው, የበለጠ በድካም እና በትምህርት የተቀነሰ ነው	ለዚህ መንግስት መዝለል በአስቀድሞ የተገለጸ ምሳሌ አጣጥሎ ነው, የበለጠ በድካም እና በትምህርት የተቀነሰ ነው
16	86 የውጭ ሀገር እንደሚያስጨንቁት እጅግ ዘርአማንኛ ነው, እንደ እንግዳኞች ማስደንገጥ ማንንም አያታል	ስምንት ስድስት
17	እኔ አላስብም እንደዚህ ነው, ብቻ እንደ ኤርናንድዝ በተጠቃቀቀ ነው	እኔ አላስብም እንደዚህ ነው, ብቻ ለ ኤርናንድዝ አስቸጋሪ ነው
18	ምስሌያችሁን ማየት ይችላሉ? ምስሌያችሁን ማየት አልችልም ትዊተር ችግር አለበት x	ምስሌያችሁን ማየት ይችላሉ? ምስሌያችሁን ማየት አልችልም ትዊተር ችግር አለበት
19	አዎ, ይህን ሁሉ የሚሉት ነው - - - ሲያሸንፉ	አዎ, ይህን ሁሉ የሚሉት ነው - - - ሲያሸንፉ
20	አሁን ምንድን ነው ኮንሰርቪቲቭስ ለእነዚህ ልጆች ይህንን ያህል ማስተዋወት እንደጀመሩ?	አሁን ምንድን ነው ኮንሰርቪቲቭስ ለእነዚህ ልጆች እንደጀመሩ ማስተዋወት?
21	እርሷ የራሷን ሰርቨር በመጠቀም እኔ በማንም ሁኔታ አልተናደድም።	እርሷ የራሷን ሰርቨር በመጠቀም እኔ አልተናደድም።
22	ስለዚህ ነው እጅግ ነገር አልለቀቅም።	ስለዚህ ነው እጅግ ነገር አልለቀቅም።
23	የከፍተኛው ፍርድ ቤት ምንም አልተቀጣም።	የከፍተኛው ፍርድ ቤት ምንም አልተቀጣም።
24	ሎል ፍጹም ፍጹም ሁሉም ህትመቶች $ 45 በሰዓት ተጨማሪ በጣም አስቆራጭ ነገር ማስፈጸም 92 ተጨማሪ ነው	ሎል ፍጹም ፍጹም ሁሉም ህትመቶች $ 45 በሰዓት ተጨማሪ, 92 ተጨማሪ ነው
25	ኬሲ መልካም ጥረት አደረገ ሆኖም ተሞክሮ የተደረገ ፊልም በሚያስጨንቀኝ መልኩ ወደኋላ ታላቅ ሐሳብ ለኔ አጠፋው።	ኬሲ መልካም ጥረት አደረገ ሆኖም ፊልም በሚያስጨንቀኝ መልኩ ወደኋላ ታላቅ ሐሳብ ለኔ አጠፋው።
26	እንዳለፉት ተሞክሮችን ማቆም ስለ እግዚአብሔር አድርጉ።	እንዳለፉት የሚያስቸግር ሁኔታዎችን ማቆም ስለ እግዚአብሔር አድርጉ።
27	እርሱን ስለምን ስለምን እንደገና መረጣችሁ?	እርሱን ስለምን መረጣችሁ?
28	ነገር ግን እርሱ ይህንን ሕፃን በተለያዩ መንገዶች እና ችግሮች አድኖታል።	ነገር ግን እርሱ ይህንን ሕፃን በተለያዩ መንገዶች እና ችግሮች አድኖታል።
29	ወንድሜ እዚህ ነው ሆኖም እኔ 55 እይዛለሁ እና ወደ አንተ እመጣለሁ	ወንድሜ እዚህ ነው ሆኖም እኔ 55 እይዛለሁ እና ወደ አንተ እመጣለሁ
