	toxic	neutral
0	说到无知，你应该学习如何拼写大联盟。	你应该学习如何拼写大联盟。
1	这个婊子屁股的黑鬼刚刚打电话到我家找我的朋友	没什么，他打电话到我家找我的朋友
2	这个狗屎真是一流的	这个真是一流的
3	看看这家伙他妈的鼻子	这个人的鼻子看起来不好。
4	但是，那个婊子确实陷害了他。	但是，她确实陷害了他。
5	这种垃圾令人恶心得无法用言语形容。	这种事情令人烦恼得无法用言语形容。
6	那是一场他妈的风暴	那是一场真正的风暴。
7	像往常一样，共和党的懦夫不会讨论枪支安全措施。	像往常一样，共和党不会讨论枪支安全措施。
8	这太恶心了，沃尔夫，我不知道还能说什么。	我不知道还能说什么。
9	今年的所有新生都可以去吸我的鸡巴！他们太笨了	今年的所有新生都不合格：
10	你会被打或杀，直到你想按照别人的要求来打扮！	如果你不按照别人的要求来打扮，你会有麻烦。
11	不管怎样，我们都对彼此做同样的狗屎哈哈	不管怎样，我们都对彼此做同样的事情哈哈
12	一旦出生，他们就不再给予一丝屎	一旦出生，他们就不再关心
13	他们的父母他妈的在哪里？	他们的父母在哪里？
14	狗屎，这是我今天第二次吃饭，我早些时候吃了苹果和燕麦	这是我今天第二次吃饭，我早些时候吃了苹果和燕麦
15	有趣的是，他们通常不在乎其他任何事情。	有趣的是，他们通常不关心其他任何事情。
16	别再当个屁股了，好建议，你应该接受。	这是个好建议，你应该接受。
17	他不值一提哈哈	他不值得关注。
18	兄弟，你他妈的来自密歇根。	嘿，你来自密歇根吗？
19	我们对太空一无所知。	我们对太空一无所知。
20	一件永远让我惊奇的事情是左派的伪善。	一件永远让我震惊的事情是左派的双重标准。
21	是的！真他妈的烦！现在我不能做爱56个月，像什么鬼！哈哈。	是的，太烦了！现在我不能做爱56个月
22	一点儿也不该做的事！趁你年轻现在就做	没什么！趁你年轻现在就做
23	我想做商业和法律，但是去他的	我想做商业和法律，但是算了
24	这些懦弱的网络喷子在周末出现似乎并非巧合。	这些网络喷子在周末出现似乎并非巧合。
25	我曾与他们的屁股一起工作，为他们工作21	我曾与他们一起工作，为他们工作21。
26	可怜的小病态的阿拉仍然认为歧视同性恋者是可以的。	病态的阿拉仍然认为歧视同性恋者是可以的。
27	特朗普就是一堆垃圾。	特朗普不是一个好人。
28	呸，我才不怕什么该死的电影	我才不怕什么电影。
29	你有脑子吗？	你没想过吗？
