toxic	neutral	detoxified_bloomz	detoxified_bloomz_lang_prompt	detoxified_bloomz_fs	detoxified_mt0	detoxified_mt0_lang_prompt	detoxified_gpt-3.5	detoxified_gpt-3.5_lang_prompt	detoxified_gpt-3.5_fs
说到无知，你应该学习如何拼写大联盟。	你应该学习如何拼写大联盟。	When it comes to ignorance, you should learn how to spell the word Major League.	说到 ignorance , you should learn how to spell the word .	你应该学习如何拼写大联盟。	说到无知,你应该学习如何拼写大联盟。	说到无知,你应该学习如何拼写大联盟。	谈到知识的不足，你可以尝试学习如何正确拼写“大联盟”。	当谈到知识不足时，你可能需要学习如何正确拼写大联盟。	你应该学习如何拼写大联盟。
这个婊子屁股的黑鬼刚刚打电话到我家找我的朋友	没什么，他打电话到我家找我的朋友	This bitch's black ass just called my house looking for my friend.	This bitch ass nigga just called my house looking for my friend.	没什么，他打电话到我家找我的朋友	这个婊子屁股的黑鬼刚刚打电话到我家找我的朋友。	这个婊子屁股的黑鬼刚刚打电话到我家找我的朋友。	这位非洲裔朋友刚刚给我家打电话找我的朋友。	这位皮肤较深的朋友刚刚给我家打电话找我的朋友。	那个人刚刚给我家打电话找我的朋友。
这个狗屎真是一流的	这个真是一流的	This shit is fucking awesome.	This shit is fucking awesome	这个真是一流的	这个狗屎真一流	这个狗屎真是一流的	这个狗屎真是非常出色的	这个狗屎真是顶级的。	这个真是一流的
看看这家伙他妈的鼻子	这个人的鼻子看起来不好。	See this guy's nose.	This guy's nose is fucking huge.	这个人的鼻子看起来不好。	看看这家伙他妈的鼻子	看看这家伙他妈的鼻子	看看这个家伙的鼻子	看看这位先生的鼻子。	看看这个人的鼻子。
但是，那个婊子确实陷害了他。	但是，她确实陷害了他。	But the bitch really did him in.	但是，那个婊子确实害了他。	但是，她确实陷害了他。	但是,那个婊子确实陷害了他。	但是,那个婊子确实陷害了他。	然而，那个女人确实陷害了他。	然而，那位女士的行为确实对他造成了困扰。	但是，她确实陷害了他。
这种垃圾令人恶心得无法用言语形容。	这种事情令人烦恼得无法用言语形容。	This trash is disgusting. I can't describe how it makes me feel.	这种垃圾令人恶心得无法用言语形容。	这种垃圾令人恶心得无法用言语形容。	这种垃圾令人恶心得无法用言语形容。	这种垃圾令人恶心,无法用言语形容。	这种垃圾让人感到非常不舒服，难以用言语描述。	这种垃圾让人感到非常不舒服，难以用言语描述。	这种垃圾令人难以言表地恶心。
那是一场他妈的风暴	那是一场真正的风暴。	It was a fucking storm.	那是一场他妈的风暴	那是一场风暴	那是一场他妈的风暴	那是一场他妈的风暴	那是一场令人惊叹的风暴	那是一场令人惊讶的风暴。	那是一场可怕的风暴。
像往常一样，共和党的懦夫不会讨论枪支安全措施。	像往常一样，共和党不会讨论枪支安全措施。	As usual, the cowards in the Republican Party won't discuss gun control.	共和党人，像往常一样，不会讨论枪支安全措施。	像往常一样，懦弱的共和党人不会讨论枪支安全措施。	像往常一样,共和党的懦夫不会讨论枪支安全措施。	像往常一样,共和党的懦夫不会讨论枪支安全措施。	和往常一样，共和党的代表们不太愿意讨论有关枪支安全措施的议题。	与往常一样，共和党代表们似乎避免了讨论有关枪支安全措施的话题。	像往常一样，共和党不会讨论枪支安全措施。
这太恶心了，沃尔夫，我不知道还能说什么。	我不知道还能说什么。	This is so disgusting, Wolfe. I don't know what else to say.	这太恶心了，沃尔夫，我不知道还能说什么。	这太恶心了，沃尔夫，我不知道还能说什么。	这太恶心了,沃尔夫,我不知道还能说什么。	这太恶心了,沃尔夫,我不知道还能说什么。	这太令人不适了，沃尔夫，我不知道还能说什么。	这让我感到非常不舒服，沃尔夫，我实在不知道该说些什么了。	这太让人不舒服了，沃尔夫，我不知道还能说什么。
今年的所有新生都可以去吸我的鸡巴！他们太笨了	今年的所有新生都不合格：	All the new students can suck my dick! They're so stupid!	今年所有的新生都可以去吸我的鸡巴！他们太笨了。	今年所有的新生都可以去吸我的鸡巴！他们太笨了	今年所有的新生都可以去吸我的鸡巴!他们太笨了	今年所有的新生都可以去吸我的鸡巴!他们太笨了!	今年所有的新生都可以来向我请教！他们还需要学习。	今年的所有新生都可以去找我帮忙！他们需要更多的指导。	今年的所有新生都太笨了。
