	en_toxic_comment	en_neutral_comment
0	i ain 't bought shit either	i ain 't bought it either
1	"the fuck you mean "" mythical "" ?"	"you mean "" mythical "" ?"
2	i think info is really important and the info given on that shit is not true .	I think the information is really important and the information given is not true.
3	""" but they give a shit if you say you drive a mazda when really you drive a mercedes ."	""" but they care if you say you drive a mazda when really you drive a mercedes."
4	sometimes i wonder how i can love such a shit team	sometimes i wonder how i can love such a bad team
5	these clowns forget who they work for : the public .	These people forget who they work for: the public.
6	shame on the fools who are turning their backs on the rape and torture of children .	shame on those who are turning their backs on the rape and torture of children .
7	we drinkin the same juice my nig ? !	We drinkin the same juice my friend?!
8	that shit will be logged , analyzed , and used against you in a court of law .	that will be logged , analyzed , and used against you in a court of law .
9	why are universities convening courts for this shit ?	why are universities convening courts for this ?
10	truly sad and pathetic , get with it yourself .	Truly sad. Get with it yourself.
11	i don 't wanna do no fucking community service ! ! ! !	i don 't want to do any community service.
12	or , you could just grow the fuck up .	or , you could just grow up.
13	lmao ! ! lol that would be some funny shit	lmao!! lol that would be some funny stuff
14	i dont want to talk to you no more , you emptyheaded animal food trough wiper !	I don't want to talk to you any more
15	well fuck you too , cbs .	same to you too,cbs.
16	shit , you 're right , i 'm probably on a list now .	You're right, I'm probably on a list now.
17	lol mane that shit aint funny	Lol mane it aint funny
18	ohh thats right the queeny lil bitch who cries for attention	ohh that's right the queeny who cries for attention
19	why am i even in culinary school , who fucking knows	Why am I even in culinary school, who knows ?
20	i say fuck those commies , send all the help to ukraine and kick russian scum back to vladivostok .	I say those commies, send all the help to Ukraine and kick russian back to Vladivostok.
21	bout to go ride either in landover or seat pleasant today , chill out with the guys n shit .	bout to go ride either in a landover or seat pleasant today, chill out with the guys n fun.
22	meh , watchin some crazy ass chiz on cartoon network	Watchin something on cartoon network
23	this shit is a global network .	This is a global network
24	why didn 't you like my new pic bitch ? i 'm done with you !	Why don't you like my new pic? I'm done with you!
25	stay white and proud you clown .	stay white and proud you .
26	chocolate tomorrow ! boom fucking booooom ! !	Chocolate tomorrow !
27	mate i have a bite or a heat spot ! and i 'm burning like fuck !	Mate I have a bite or a heat spot, and I am burning so bad
28	hell naw i think he stuck lil fat ass lol	I think he's stuck
29	fuck dont link your tumblr to twitter or fb thanks	Don’t link your tumblr to twitter or facebook please
30	is there a fucking problem with that ?	is there a problem with that ?
31	oh shit , i feel terrible because i just assumed it was a cop shooting .	Oh,i feel terrible because i just assumed it was a cop shooting.
32	yes ! so fucking annoying ! now i can 't have sex for 56 months like wtf ! lol .	Yes! It is annoying! Now I cannot have sex for 56 months like what! Laughing out loud.
33	taking a ball to the face at football really fucking hurts , feels like my jaw is out of place	taking a ball to the face at football really hurts , feels like my jaw is out of plac
34	i just got a mental image of with a big - ass pair of bolt cutters	I just got a mental image of with a big pair of bolt cutters
35	i been callin yo ass since monday	i been callin yo since monday
36	i wish someone would help me make a damn decision already with this kickback and this damn jam session	I wish someone would help me decide this jam session already
37	by your logic , fuck you for literally everything you 've done wrong .	by your logic , you are literally everything you 've done wrong .
38	my dumb ass had no clue , lol , but i 'm definitely following back	i didn't knew anything, but i 'm definitely following back
39	i am hot shit , yoo .	I'm hot, yo!
40	my dad just came in and told me to turn my fucking music down cause hes going bed	my dad just came in,and tokd me to turn my music down because he is going to bed.
41	damn is like a fucking genius	is like a genius
42	and aint even realized i havent said shit	And I ain't even realized I haven't said anything.
43	fuck knows pal , just average players everywhere ! !	there are are just average players everywhere!
44	bullshit , japan should have finished .	Japan should have finished.
45	ooo something just kicked off my fuck people mood haha x	ooo something just kicked off my people mood haha x
46	now i feel like an ass	now i feel very bad
47	how the fuck did we go 42 degrees on this ?	How did we go 42 degrees on this?
48	why don 't u just a owl like harry potter that shit is free and u can get unlimited text	Why don't you just own an owl like Harry Potter, that is free and you can get unlimited text.
49	not giving a fuck is one thing .	not giving a care is one thing.
50	shit these days that just means you get assumed to be a drug kingpin and targeted for civil forfeiture .	these days that just means you get assumed to be a drug kingpin and targeted for civil forfeiture .
51	you shouldn 't call your mother a bitch .	you shouldn 't call your mother with a bad word.
52	i was tweeting crazy shit and everything	I was tweeting and all
53	stop laughing bitch and help me like i asked .	stop laughing and help me like i asked .
54	pull that copy of the guardian out your ass .	put a bit of effort to get that copy of the guardian please
55	oh wait , no what the fuck is going on in these comments ? ! ?	Oh wait, what is going on in these comments?
56	think about how institutionalized this shit actually is .	think about how institutionalized this actually is .
57	idk , i haven 't been outside & i 'll prolli end up doin the same shit i always do	Idk, i haven't been outside and I'll probably end up doing the same thing i always do
58	never buying their over priced shit ever again .	I will never buy their overpriced things again.
59	where the fuck is the next gob iron album ?	Where is the next gob iron album ?
60	so uh , this article is annoying as fuck as it doesn 't actually list the products to avoid .	So uh, the article is extremely annoying as it doesn't actually list the products to avoid.
61	ya , but they don 't give a shit as much .	ya , but they don 't care that much. .
62	the priorities of our species is fucked .	The priorities of our species is messed-up
63	every vote for trump enabled a pervert .	every vote for trump enabled not a good man.
64	funny ? you must find shit at r funny to be hilarious	funny? you must find things at r funny to be hilarious
65	shit , you lucky mother fucker	you lucky man
66	i know , im all obbsessed and shit ahaa	I know I'm all obsessed and not fair
67	but we do have fun block parties n shit ! !	But we do have fun block parties and stuff.
68	this shit is gettin crazy .	This matter is getting out of hand.
69	haha xd call my phone ! i cant find the bitch .	Haha xd call my phone! I cant find it.
70	we gone find us some find mother fuckin new yorkers	We will find some new yorkers.
71	please read the constitution , youll sound less ignorant .	You will understand more if you read the constitution.
72	her crime was to be stupid enough to confuse civilisation and colonisation , like you apparently do .	Her crime was to confuse civilisation and colonisation like you apparently do
73	she don 't need that shit !	She doesn't need this thing.
74	lil ass tried to attack me last night lol	lil tried to attack me last night
75	rt i just dropped the phone on a patient - _ - fuck	rt i just dropped the phone on a patient - _ -
76	nobody really fucks with facebook nomore	nobody really care with facebook nomore
77	no more blacking shit out for national security purposes .	no more blacking out for national security purposes .
78	lls , that shit dnt wrk for me !	That doesn't work for me
79	this pc shit needs to stop .	This pc problems need to stop.
80	most of the shit on sale here was stuff you 'd find in the bag of crap .	Most of what is sold here is found somewhere inacceptable.
81	im not fake i just don 't fuck with you foolies	I'm not fake I just don't deal with you.
82	fuck ! it 's just for withdrawals	Oh! it’s just for withdrawals.
83	the poor should get to fucking work .	the poor should get to work .
84	we gotta write a essay to and this packet wit that weak ass book im on page 27	we have to write an essay to and this packet written on this book i'm on page 27
85	as always he is clueless and lunatic .	as always he is clueless and unstable.
86	fuck 10 10 we need jobs	we need jobs
87	how the fuck does it happen to a kid from the west ?	how does it happen to a kid from the west ?
88	and there are lots of factors why shit is the way it is in the middle east	and there are lots of factors why it is the way in the middle east
89	- i 'm glad you now fully appreciate what a dumb , fake bitch she is .	- i 'm glad you now fully appreciate what she is .
90	speaking of ignorant , you should learn how to spell big league .	you should learn how to spell big league .
91	nothing this bitch ass nigga just called my house to ask fa my friend	Nothing, he called my house to ask for my friend
92	nah this shit is prime	Nah this is prime
93	look at the fuckin nose on this guy	This guy' nose is not looks good .
94	but , that bitch did set him up .	But she did set him up.
95	this kind of crap is disgusting beyond words .	This kind of this are annoying beyond words
96	it was a fuckin storm	It was a real storm.
97	republican cowards , as usual , will not discuss gun safety measures .	Republican, as usual, will not discuss gun safety measures.
98	its disgusting , wolf , i dont know what else to say .	I don't know what to say.
99	all the freshman this year can suuuuck my dick ! they 're dumb	all the freshman this year are not qualified
100	you will be beaten or killed until you want to dress the way you are told ! .	You will be in trouble if you do not dress the way you are told.
101	dont matter we both do the same shit to eachother ahah	dont matter we both do the same thing to eachother ahah
102	once born they stop giving a shit	Once born, they do not care
103	where the fuck are their parents at ?	Where are their parents at?
104	shit this is my second time eating today i had apples and oatmeal earlier	this is my second time eating today i had apples and oatmeal earlie
105	the funny thing is they generally don 't give a shit about anything else .	The funny thing is they generally don 't care about anything else .
106	stop being an ass good advice , you should take it .	It is a good advice you should take it
107	he ain 't shit to be regarded for lol	he is nothing to be regarded for .
108	bro , you are from fucking michigan .	Hey, you are from Michigan?
109	we don 't know jack shit about space .	We don't know anything about space.
110	one thing that never fails to amaze me is the hypocrisy of those on the left .	one thing that never fails to shock me is the dual standard of those on the left .
111	yes ! so fucking annoying ! now i can 't have sex for 56 months like wtf ! lol .	Yes so annoying ! Now I can't have sex for 56months
112	not a damn thing ! do it now while you 're young	not a thing ! do it now while you 're young
113	i wanted to do business and law but um fuck that	I wanted to do business and law but never mind
114	it seems to be no coincidence that these cowardly trolls appear on weekends .	It seems to be no coincidence that these trolls appears on weekends.
115	i 've worked with they ass and for them 21	i've worked with them and for them 21.
116	poor little sicko allaha still thinks its ok to discriminate against gay people .	sicko allaha still thinks its ok to discriminate against gay people .
117	trump is a pile of garbage .	Trump is not a good man.
118	psh , i ain 't scared of no damn movie	I ain't scared of no movie.
119	dont you have a brain ?	don't you think of that ?
120	that should provide a pretty good idea of who the real fool is .	that should provide a pretty good idea of who was wrong.
121	nah , that would be dick in	Nah,that would be fine.
122	they need to buy their own shit .	They need to buy their own thing
123	guess wat ? ? ? ? i 'ont give ah fuck ! ! !	Guess what?? I don't mind!
124	i hope they 've sorted their shit out for the next election .	i hope they've sorter their things for the next election
125	what happened to evil dick ?	What happened to him?
126	why the fuck didn 't you learn to code when you were at ucla ?	why didn 't you learn to code when you were at ucla ?
127	some man just got stabbed in town ! o shit	Some man just got stabbed in town.
128	he has his mothers brains .	He thinks likw hos mother
129	implying both of those shows don 't kick ass .	Implying both of those shows, won't rock!
130	and then she brought him in class and kept talking about her house like anyone gave a shit .	He was brought into class and she talked nonstop about her house like nobody gave a damn.
131	lol , you know that shit is funny	You know it is funny
132	in the words of george carlin the planet is doing fine , it 's the people that are fucked .	In the words of George Carlin the planet is doing fine, it's the people that are not.
