	toxic	neutral
0	المطورون الأوغاد، أعطونا الدروع. ما هذا الخراء. الطبل الأخير يتعطل باستمرار.	المطورون، أعطونا الدروع، ماذا يحدث، الطبل الأخير يتعطل باستمرار
1	اللعنة، عندي امتحان غدا. أنا خائف، اللعنة، لأنه إذا لم أنجح سيقطع أبي أصابعي بمقص الحديقة	لدي امتحان غدا. أنا خائف جدا لأنه إذا لم أنجح سيغضب أبي
2	ربما أعطت رقمك للأشخاص الخاطئين؟	ربما أعطت رقمك لشخص ما
3	اللعنة، هو يستهزئ أيضا. الوغد.	هو يستهزئ أيضا
4	فقدت الهاتف، هذه المرة حقا. ما هذا الناس، اللعنة.	فقدت الهاتف، هذه المرة حقا
5	ما هو الخراء هذا الإنشاء، يجب أن أكتب الأطروحة	ما هو هذا الإنشاء، يجب أن أكتب الأطروحة
6	الشيطان، ليحترق في الجحيم	سيتم محاسبته من قبل السلطة العليا
7	لقد حفظنا بلاغك، الوغد الفاشي!	لقد حفظنا بلاغك
8	ساشكا اللعنة، لا، اللعنة، كيف يمكن ذلك، اللعنة	ساشكا لماذا؟ كيف يمكن ذلك
9	الأوغاد العظميون، أين ننظر، أي الشعب	أين ننظر، أي الشعب
10	ببسيطة كاملة، هل أنتم أغبياء؟ .:s	الوضع فوضوي تمامًا! هل جنيتم عقولكم جميعًا؟
11	هل هناك أقل من النظام في الولايات المتحدة مقارنة بروسيا؟ إذا كنتم ستؤكدون هذا، حتى الأغبياء الواطيون لن يصدقوكم جميعًا.	هل هناك أقل من النظام في الولايات المتحدة مقارنة بروسيا؟ إذا كنتم ستؤكدون هذا، فلن يصدقكم أحد
12	صديقي، الأغلبية منا تؤيد الرئيس وسأزعجك، يجب عليك أيضًا العيش تحت بوتين يا كلبة متناكة.	صديقي، الأغلبية منا تؤيد الرئيس وسأزعجك، سيكون عليك أيضًا العيش تحت بوتين
13	اللعنة، لن أذهب إلى هذه المواجهات((( لدي حمى((( أريد أن أعرف من هذه العاهرة أو الأحمق.	اللعنة، لن أذهب إلى هذه المواجهات((( لدي حمى((( أريد أن أعرف من هذه الفتاة أو الرجل
14	كنا الأفضل وأعطونا المركز الأخير يا كلاب (	كنا الأفضل وأعطونا المركز الأخير
15	ألمي الأرداف :( كل هذا بسبب أنني كالجذع على الجليد! كس لا يستجيب	ألمي الأرداف :( كل هذا بسبب أنني كالجذع على الجليد! لا أستجيب
16	اللعنة على الوطنية، أسوأ عطلة رأس السنة :( اذهبوا للجحيم، أنا مستاءة	أسوأ عطلة رأس السنة. أنا مستاءة، دعوني وشأني
17	قصائد نيكراسوف - هذا شيء قاسي! أنا أقرأ الصفحة 141 بالفعل ولا أفهم شيئًا عما كتب. هذا يعذب الدماغ ;(	قصائد نيكراسوف - هذا شيء قاسي! أنا أقرأ الصفحة 141 بالفعل ولا أفهم شيئًا عما كتب. هذا يعذب الدماغ ;(
18	اللعنة! في أومسك بالفعل مظلم جدا... وأنا بحاجة للذهاب إلى ماركس(	في أومسك بالفعل مظلم جدا، وأنا بحاجة للذهاب إلى ماركس
19	وأنت أيضًا، أعطني صفحتك الطبيعية :-( وليس الدور الذي تلعبه -_-	وأنت أيضًا، أعطني صفحتك الطبيعية وليس الدور الذي تلعبه:
