	toxic	neutral
0	ለዚህ ክምር ከመቼስ ጀምሮ ጥሩ አይታ መዝጋት አለበት	ከመቼስ ጀምሮ ራሷን መቆም አለባት
1	እንዲህ ያለው ሰው ሁሉም ላይ ስለሚጣል ሁሉም ነገር ላይ	ለዚህ ሰው ሁሉም ላይ ማንኛውም ነገር አንድ ነው
2	እንዲህ ያለውን የተጣለ ሰው በኦሊጋርክ አስተዳዳሪዎች አስተዳዳሪዎች ብቻ ማግኘት ይችላሉ	እንዲህ ያለውን ሰው በኦሊጋርክ አስተዳዳሪዎች አስተዳዳሪዎች ብቻ ማግኘት ይችላሉ
3	እራሴ ስለዚህ ሁሉ አውቅም አስቸገረኝ። ሁሉም ወዴት እንደሚሄዱ እኔ ግን ቤት ላይ እቀመጣለሁ	እራሴ ስለዚህ ሁሉ የተያዘ ሁኔታ አስቸገረኝ። ሁሉም ወዴት እንደሚሄዱ እኔ ግን ቤት ላይ እቀመጣለሁ
4	ከበጎ አስተሳሰብ ለምሳሌ አገልግሎት አልተሰጣቸውም ማለት ነው	አገልግሎት ከፍተኛ ደረጃ አልተሰጣቸውም ማለት ነው
5	ወዮለት፣ አስቸጋሪ ነው አሳውቅም በአንድ ሳምንት ብቻ አሳውቅም፣ እኔ ከአሳቢ እወጣለሁ	አሳሳቢ ነው, አሳውቅም በአንድ ሳምንት ብቻ አሳውቅም, እኔ ከአሳቢ እወጣለሁ
6	ካቲያ ሰውነት, እኔ አላውቅምም እንደሆነ ዛሬ በቀንህ በቀንህ	ካቲያ, እኔ አላውቅምም እንደሆነ ዛሬ በቀንህ በቀንህ
7	እኔ ተውቻለሁ። በ 'ትዊተርን ለመዝጋት' ስር የተቀመጠውን ማስወገድ ነው። እኔ ተውቻለሁ	እኔ ተውቻለሁ, 'ትዊተርን ለመዝጋት' ማለት ማስወገድ ነው
8	የተበላሽተው የአብርሃም ሰዎች በፋብሪካ ላይ ማስተላለፍ አለባቸው አገልጋዮችን በፋብሪካ ላይ ማስተላለፍ አለባቸው	የተበላሽተው የአብርሃም ሰዎች በፋብሪካ ላይ ማስተላለፍ አለባቸው አገልጋዮችን በፋብሪካ ላይ ማስተላለፍ አለባቸው
9	እነሱ በዚያ አዝናኝ ነው፤ እኔ በዚህ ቦሌ በሚገኘው ቦሌ እቀመጣለሁ፤ ሁሉም ነገር አስቸጋሪ ነው፤ እኔ እንዲህ እወዳለሁ	እነሱ በዚያ አዝናኝ ነው፤ እኔ በዚህ ቦሌ በሚገኘው ቦሌ እቀመጣለሁ፤ ሁሉም ነገር አስቸጋሪ ነው፤ እኔ እንዲህ እወዳለሁ
10	እንዲህ ያለውን ምክር ይህ ጋብዛዊት ሴት ምን ማስተማር ይችላል?	እንዲህ ያለውን ምክር እሷ ምን ማስተማር ይችላል?
11	ሁሉም ገበሬዎች እኔን ብቻ ተዉኝ በውሃ ፓርክ መገባት አይፈልጉም(((	ማንም ከእኔ ጋር በውሃ ፓርክ መገባት አይፈልግም
12	አማንዳን አትውቅም አሳብ ባልሆነው::	አማንዳን አትውቅም
13	እንዴት እኔ በርካታ አዝናኝ ነኝ ብለው አስተምረውኝ::: ራሴን በርካታ አዝናኝ ነኝ::: ራሴን በርካታ መስታወት ነው:::	እንደዚህ አዝናኝ አልነበረኝም! ራሴን ማስታወቅ በጣም አዝናኝ ነው!
14	ማን ያህል ደዌ ያለው ሰው በዚያ ያለውን የራሴን ውሸት ይወዳል? o_О	ማን ያህል ደዌ ያለው ሰው የራሴን ሥራ ይወዳል?
15	እንዲህ ነው, ነገ ጤንነት እንዲሆንልህ	ነገ ጤንነት እንዲሆንልህ ደስ ብሎኛል
16	ውሻ ነው ወይ? እኔ ለእርሱ ኮንሰርት ሄድኩ! በትኩስ የትኩስ ቦታ ማዘጋጀት አለበት! በመስጂድ ማዘምር ይሞክር!	እኔ ለእርሱ ኮንሰርት ሄድኩ! በትኩስ የትኩስ ቦታ ማዘጋጀት አለበት! በመስጂድ ማዘምር ይሞክር!
17	ትምህርት ባለሙያዎች አስቀድሞ ተውኝ	ትምህርት ባለሙያዎች አስቀድሞ ተውኝ
18	አየር መንገዱ ተበላሽ። እኛ ወደ ሞት ነን!	አየር መንገዱ ተበላሽ። እኛ በጣም በጣም አዝናኝ ነን
19	እንዴት ነው እኔ ራሴን አሳዝነኝ, እንደ ቅልቅል ሴት::ሄደሁ, እንቅልፍ ሆኜ, ምንጭብ በሁሉም በኩል ይፈልጋል, እኔም በርካታ አዝናኝ ነኝ:: እንዲሁም ጆሮዬ በርካታ ይህችል::	እንዴት ነው እኔ ራሴን አሳዝነኝ. ሄደሁ, እንቅልፍ ሆኜ, ምንጭብ በሁሉም በኩል ይፈልጋል, እኔም በርካታ አዝናኝ ነኝ::
