	toxic	neutral
0	Gibt es ein verdammtes Problem damit?	Gibt es ein Problem damit?
1	Oh Scheiße, ich fühle mich schrecklich, weil ich einfach angenommen habe, dass es eine Polizeischießerei war.	Oh, ich fühle mich schrecklich, weil ich einfach angenommen habe, dass es eine Polizeischießerei war.
2	Ja! So verdammt ärgerlich! Jetzt kann ich 56 Monate lang keinen Sex haben, wie zum Teufel! Lol.	Ja! Es ist ärgerlich! Jetzt kann ich 56 Monate lang keinen Sex haben, wie bitte! Lachend.
3	Ein Ball ins Gesicht beim Fußball tut wirklich verdammt weh, es fühlt sich an, als wäre mein Kiefer aus der Verankerung.	Ein Ball ins Gesicht beim Fußball tut wirklich weh, es fühlt sich an, als wäre mein Kiefer aus der Verankerung.
4	Ich habe gerade ein mentales Bild von jemandem mit einem großen Arschpaar Bolzenschneidern.	Ich habe gerade ein mentales Bild von jemandem mit einem großen Paar Bolzenschneidern.
5	Ich rufe deinen Arsch seit Montag an	Ich rufe dich seit Montag an
6	Ich wünschte, jemand würde mir helfen, endlich eine verdammte Entscheidung mit diesem Kickback und dieser verdammten Jam-Session zu treffen	Ich wünschte, jemand würde mir helfen, endlich diese Jam-Session zu entscheiden
7	Nach deiner Logik, fick dich für alles, was du falsch gemacht hast.	Nach deiner Logik, bist du buchstäblich alles, was du falsch gemacht hast.
8	Mein dummer Arsch hatte keine Ahnung, lol, aber ich folge definitiv zurück	Ich wusste nichts, aber ich folge definitiv zurück
9	Ich bin heiße Scheiße, yoo.	Ich bin heiß, yo!
10	mein Vater kam gerade herein und sagte mir, ich solle meine verdammte Musik leiser machen, weil er ins Bett geht	mein Vater kam gerade herein und sagte mir, ich solle meine Musik leiser machen, weil er ins Bett geht
11	verdammt ist wie ein verdammtes Genie	ist wie ein Genie
12	und habe nicht einmal realisiert, dass ich keinen Scheiß gesagt habe	Und ich habe nicht einmal realisiert, dass ich nichts gesagt habe.
13	keine Ahnung Kumpel, einfach nur Durchschnittsspieler überall!!	es gibt einfach nur Durchschnittsspieler überall!
14	Bullshit, Japan hätte fertig sein sollen.	Japan hätte fertig sein sollen.
15	ooo etwas hat gerade meine Scheißleute Stimmung ausgelöst haha x	ooo etwas hat gerade meine Leute Stimmung ausgelöst haha x
16	jetzt fühle ich mich wie ein Arsch	jetzt fühle ich mich sehr schlecht
17	wie zum Teufel sind wir auf 42 Grad gekommen?	Wie sind wir auf 42 Grad gekommen?
18	warum besitzt du nicht einfach eine Eule wie Harry Potter, das ist kostenlos und du kannst unbegrenzt Text bekommen	Warum besitzt du nicht einfach eine Eule wie Harry Potter, das ist kostenlos und du kannst unbegrenzt Text bekommen.
19	es ist eine Sache, einen Fick nicht zu geben.	es ist eine Sache, sich nicht zu kümmern.
20	Scheiße, heutzutage bedeutet das nur, dass man automatisch für einen Drogenboss gehalten und für zivile Einziehung ins Visier genommen wird.	Heutzutage bedeutet das nur, dass man automatisch für einen Drogenboss gehalten und für zivile Einziehung ins Visier genommen wird.
21	Du solltest deine Mutter nicht als Schlampe bezeichnen.	Du solltest deine Mutter nicht mit einem schlechten Wort bezeichnen.
22	Ich habe verrückte Scheiße getwittert und alles	Ich habe getwittert und alles
23	Hör auf zu lachen, Schlampe, und hilf mir, wie ich gefragt habe.	Hör auf zu lachen und hilf mir, wie ich gefragt habe.
24	Zieh diese Kopie des Guardian aus deinem Arsch.	Bitte bemühen Sie sich ein wenig, diese Kopie des Guardian zu bekommen.
25	Oh warte, nein, was zum Teufel geht in diesen Kommentaren vor?!	Oh warte, was geht in diesen Kommentaren vor?
26	Denk mal darüber nach, wie institutionalisiert diese Scheiße eigentlich ist.	Denk mal darüber nach, wie institutionalisiert das eigentlich ist.
27	Keine Ahnung, ich war nicht draußen und werde wahrscheinlich immer das Gleiche machen, was ich immer mache.	Keine Ahnung, ich war nicht draußen und werde wahrscheinlich immer das Gleiche machen, was ich immer mache.
28	Ich kaufe nie wieder ihre überteuerte Scheiße.	Ich werde ihre überteuerten Sachen nie wieder kaufen.
29	Wo zum Teufel ist das nächste Gob Iron Album?	Wo ist das nächste Gob Iron Album?
